Builder,Order #,Job #,Lot,Tract,Store,Job Type,Install Date,Status,Revenue,Transitions Found
"ARBOR HOMES - INDIANAPOLIS","CG641073","NWH 134 - LVT","134","Northwood Haven","003","RESILIENT - LV CLICK","","","4281.75",""
"ARBOR HOMES - INDIANAPOLIS","CG640699","HLS 34 - LVT","34","Highland Springs","003","RESILIENT - LV CLICK","","","4816.35",""
"ARBOR HOMES - INDIANAPOLIS","CG639127","IBF 72 - LVT","72","Isabelle Farms","003","RESILIENT - LV CLICK","","","4816.35",""
"ARBOR HOMES - INDIANAPOLIS","CG638574","BRI 13 - LVT","13","Bridle Oaks South","003","RESILIENT - LV CLICK","","","3762.00",""
"ARBOR HOMES - INDIANAPOLIS","CG635007","BRI 19 - LVT","19","Bridle Oaks South","003","RESILIENT - LV CLICK","","","4474.80",""
"ARBOR HOMES - INDIANAPOLIS","CG637281","SMS 15 - LVT","15","Somerset","003","RESILIENT - LV CLICK","","","5618.25",""
"ARBOR HOMES - INDIANAPOLIS","CG639463","BRI 15 - LVT","15","Bridle Oaks South","003","RESILIENT - LV CLICK","","","4400.55",""
"ARBOR HOMES - INDIANAPOLIS","CG635765","SMS 12 - LVT","12","Somerset","003","RESILIENT - LV CLICK","","","6113.25",""
"ARBOR HOMES - INDIANAPOLIS","CG639023","IBF 56 - LVT","56","Isabelle Farms","003","RESILIENT - LV CLICK","","","5049.00",""
"ARBOR HOMES - INDIANAPOLIS","CG637195","BRI 42 - LVT","42","Bridle Oaks South","003","RESILIENT - LV CLICK","","","3484.80",""
"ARBOR HOMES - INDIANAPOLIS","CG635029","BRI 36 - LVT","36","Bridle Oaks South","003","RESILIENT - LV CLICK","","","5638.05",""
"ARBOR HOMES - INDIANAPOLIS","CG639375","IBF 103 - LVT","103","Isabelle Farms","003","RESILIENT - LV CLICK","","","6915.15",""
"ARBOR HOMES - INDIANAPOLIS","CG632238","IBF 78 - LVT","78","Isabelle Farms","003","RESILIENT - LV CLICK","2026-06-18","SCHEDULED","4489.65",""
"ARBOR HOMES - INDIANAPOLIS","CG630302","IBF 119 - LVT","119","Isabelle Farms","003","RESILIENT - LV CLICK","2026-06-19","SCHEDULED","2920.50",""
"ARBOR HOMES - INDIANAPOLIS","CG632593","SMS 59 - LVT","59","Somerset","003","RESILIENT - LV CLICK","2026-06-22","SCHEDULED","5845.95",""
"ARBOR HOMES - INDIANAPOLIS","CG633374","IBF 50 - LVT","50","Isabelle Farms","003","RESILIENT - LV CLICK","2026-06-24","SCHEDULED","3138.30",""
"ARBOR HOMES - INDIANAPOLIS","CG621089","SVS 287 - LVT","287","Silver Stream","003","RESILIENT - LV CLICK","2026-06-25","SCHEDULED","4524.30",""
"ARBOR HOMES - INDIANAPOLIS","CG633749","NWH 149 - LVT","149","Northwood Haven","003","RESILIENT - LV CLICK","2026-06-26","SCHEDULED","5712.30",""
"ARBOR HOMES - INDIANAPOLIS","CG633501","BRI 22 - MODEL OFFICE LVT","22","Bridle Oaks South","003","RESILIENT - LV CLICK","2026-06-26","SCHEDULED","744.58",""
"ARBOR HOMES - INDIANAPOLIS","CG630010","SMS 13 - LVT","13","Somerset","003","RESILIENT - LV CLICK","2026-06-29","SCHEDULED","4489.65",""
"ARBOR HOMES - INDIANAPOLIS","CG633500","BRI 22 - MODEL LVT","22","Bridle Oaks South","003","RESILIENT - LV CLICK","2026-06-29","SCHEDULED","3846.54",""
"ARBOR HOMES - INDIANAPOLIS","CG619956","SVS 295 - LVT","295","Silver Stream","003","RESILIENT - LV CLICK","2026-07-01","SCHEDULED","5271.75",""
"ARBOR HOMES - INDIANAPOLIS","CG622267","SVS 303 - LVT","303","Silver Stream","003","RESILIENT - LV CLICK","2026-07-02","SCHEDULED","5677.65",""
"ARBOR HOMES - INDIANAPOLIS","CG633662","MAP 41 - LVT","41","Maple Trails","003","RESILIENT - LV CLICK","2026-07-06","SCHEDULED","4816.35",""
"ARBOR HOMES - INDIANAPOLIS","CG633408","IBF 108 - LVT","108","Isabelle Farms","003","RESILIENT - LV CLICK","2026-07-06","SCHEDULED","4489.65",""
"ARBOR HOMES - INDIANAPOLIS","CG635681","NWH 150 - LVT","150","Northwood Haven","003","RESILIENT - LV CLICK","2026-07-09","SCHEDULED","2356.20",""
"ARBOR HOMES - INDIANAPOLIS","CG634962","MAP 295 - LVT","295","Maple Trails","003","RESILIENT - LV CLICK","2026-07-09","SCHEDULED","4781.70",""
"ARBOR HOMES - INDIANAPOLIS","CG635733","MAP 290 - LVT","290","Maple Trails","003","RESILIENT - LV CLICK","2026-07-10","SCHEDULED","4093.65",""
"ONYX & EAST INDIANAPOLIS","CG634056","NKR 4002 - LVT","4002","Nickel Row","003","RESILIENT - LV CLICK","","","7044.84",""
"ONYX & EAST INDIANAPOLIS","CG640289","COL 4003 - LVT","4003","Colere","003","RESILIENT - LV CLICK","","","3583.40",""
"ONYX & EAST INDIANAPOLIS","CG634078","NKR 4001 MODEL - LVT","4001","Nickel Row","003","RESILIENT - LV CLICK","","","9481.97",""
"ONYX & EAST INDIANAPOLIS","CG634005","NKR 4003 - LVT","4003","Nickel Row","003","RESILIENT - LV CLICK","","","7433.95",""
"ONYX & EAST INDIANAPOLIS","CG625711","WBH 10 - LVT","10","Westbranch Holdings","003","RESILIENT - LV CLICK","","","6650.50",""
"ONYX & EAST INDIANAPOLIS","CG629306","WBH 162 - LVT","162","Westbranch Holdings","003","RESILIENT - LV CLICK","2026-06-12","SCHEDULED","5624.08",""
"ONYX & EAST INDIANAPOLIS","CG629358","WBH 20 - LVT","20","Westbranch Holdings","003","RESILIENT - LV CLICK","2026-06-12","FOLLOW UP","6650.50",""
"ONYX & EAST INDIANAPOLIS","CG630590","WBH 159 - LVT","159","Westbranch Holdings","003","RESILIENT - LV CLICK","2026-06-16","SCHEDULED","6279.78",""
"ONYX & EAST INDIANAPOLIS","CG630772","WBH 160 - LVT","160","Westbranch Holdings","003","RESILIENT - LV CLICK","2026-06-16","SCHEDULED","5624.08",""
"ONYX & EAST INDIANAPOLIS","CG630867","WBH 161 - LVT","161","Westbranch Holdings","003","RESILIENT - LV CLICK","2026-06-16","SCHEDULED","6279.78",""
"ONYX & EAST INDIANAPOLIS","CG629393","WBH 158 - LVT","158","Westbranch Holdings","003","RESILIENT - LV CLICK","2026-06-24","SCHEDULED","5624.08",""
"ONYX & EAST INDIANAPOLIS","CG629381","WBH 157 - LVT","157","Westbranch Holdings","003","RESILIENT - LV CLICK","2026-06-24","SCHEDULED","6279.78",""
"ONYX & EAST INDIANAPOLIS","CG629658","WBH 155 - LVT","155","Westbranch Holdings","003","RESILIENT - LV CLICK","2026-06-30","SCHEDULED","6279.78",""
"ONYX & EAST INDIANAPOLIS","CG629695","WBH 154 - LVT","154","Westbranch Holdings","003","RESILIENT - LV CLICK","2026-06-30","SCHEDULED","5624.08",""
"ONYX & EAST INDIANAPOLIS","CG629675","WBH 156 - LVT","156","Westbranch Holdings","003","RESILIENT - LV CLICK","2026-06-30","SCHEDULED","5624.08",""
"ONYX & EAST INDIANAPOLIS","CG640277","COL 4002 - LVT","4002","Colere","003","RESILIENT - LV CLICK","2026-07-06","SCHEDULED","3751.50",""
"ONYX & EAST INDIANAPOLIS","CG640396","COL 4004 - LVT","4004","Colere","003","RESILIENT - LV CLICK","2026-07-06","SCHEDULED","3751.50",""
"ONYX & EAST INDIANAPOLIS","CG639782","COL 4001 - LVT","4001","Colere","003","RESILIENT - LV CLICK","2026-07-06","SCHEDULED","4321.40",""
"ONYX & EAST INDIANAPOLIS","CG640426","COL 4005 - LVT","4005","Colere","003","RESILIENT - LV CLICK","2026-07-06","SCHEDULED","4321.40",""
"ONYX & EAST INDIANAPOLIS","CG629924","WBH 153 - LVT","153","Westbranch Holdings","003","RESILIENT - LV CLICK","2026-07-08","SCHEDULED","5624.08",""
"ONYX & EAST INDIANAPOLIS","CG612510","WBH 19 - LVT","19","Westbranch Holdings","003","RESILIENT - LV CLICK","2026-07-08","SCHEDULED","6650.50",""
"ONYX & EAST INDIANAPOLIS","CG612465","WBH 18 - LVT","18","Westbranch Holdings","003","RESILIENT - LV CLICK","2026-07-08","SCHEDULED","6650.50",""
"ONYX & EAST INDIANAPOLIS","CG612432","WBH 15 - LVT","15","Westbranch Holdings","003","RESILIENT - LV CLICK","2026-07-14","SCHEDULED","6650.50",""
"ONYX & EAST INDIANAPOLIS","CG612499","WBH 17 -  LVT","17","Westbranch Holdings","003","RESILIENT - LV CLICK","2026-07-14","SCHEDULED","6650.50",""
"ONYX & EAST INDIANAPOLIS","CG612493","WBH 16 - LVT","16","Westbranch Holdings","003","RESILIENT - LV CLICK","2026-07-14","SCHEDULED","6650.50",""
"ONYX & EAST INDIANAPOLIS","CG612431","WBH 15 - WT","15","Westbranch Holdings","003","RESILIENT - LV CLICK","2026-07-14","SCHEDULED","1316.00",""
"ONYX & EAST INDIANAPOLIS","CG636740","WBH 13 - LVT","13","Westbranch Holdings","003","RESILIENT - LV CLICK","2026-07-21","SCHEDULED","6650.50",""
"ONYX & EAST INDIANAPOLIS","CG637414","WBH 12 - LVT","12","Westbranch Holdings","003","RESILIENT - LV CLICK","2026-07-21","SCHEDULED","6650.50",""
"ONYX & EAST INDIANAPOLIS","CG612418","WBH 14 - LVT","14","Westbranch Holdings","003","RESILIENT - LV CLICK","2026-07-21","SCHEDULED","6650.50",""
"PULTE HOMES OF LOUISV MS 1050","FN620877","KAR TCG 4 93 - LVT F/U","","","005","RESILIENT - LV CLICK","","","0.00",""
"PULTE HOMES OF LOUISV MS 1050","FN615172","KCS TCG 4 95 - LVT","","","005","RESILIENT - LV CLICK","","","195.00",""
"PULTE HOMES OF LOUISV MS 1050","CG622518","KCS TCG 4.5 180 - LVT","180","CREEKSTONE","005","RESILIENT - LV CLICK","2026-06-08","COMPLETED - ADDL LABOR","8480.02",""
"PULTE HOMES OF LOUISV MS 1050","CG626209","KAR TCG 4.5 98 - LVT","98","AIKEN RIDGE TCG 4.5","005","RESILIENT - LV CLICK","2026-06-10","JOB CUT","9208.18",""
"PULTE HOMES OF LOUISV MS 1050","CG630172","KCTF 162 - LVT - CLICK","162","CATALPA FARMS","005","RESILIENT - LV CLICK","2026-06-11","JOB CUT","3711.68",""
"PULTE HOMES OF LOUISV MS 1050","CG627664","KAR TCG 4 95 - LVT","95","AIKEN RIDGE TCG 4","005","RESILIENT - LV CLICK","2026-06-11","JOB CUT","3164.63",""
"PULTE HOMES OF LOUISV MS 1050","CG627833","KCTF 163 - LVT","163","CATALPA FARMS","005","RESILIENT - LV CLICK","2026-06-12","SCHEDULED","3711.68",""
"PULTE HOMES OF LOUISV MS 1050","CG633875","KAM TCG 4.5 142 - LVP","142","ARDMORE TCG 4.5 COMBINED","005","RESILIENT - LV CLICK","2026-06-17","SCHEDULED","4403.48",""
"PULTE HOMES OF LOUISV MS 1050","CG628039","KCTF 160 - LVT","160","CAPALTA FARMS","005","RESILIENT - LV CLICK","2026-06-18","SCHEDULED","4963.64",""
"PULTE HOMES OF LOUISV MS 1050","CG627450","KCTF 176 - LVT","176","Catalpa Farms","005","RESILIENT - LV CLICK","2026-06-22","SCHEDULED","3827.76",""
"PULTE HOMES OF LOUISV MS 1050","CG633848","KAM TCG 4.5 140 - LVP","140","ARDMORE TCG 4.5 COMBINED","005","RESILIENT - LV CLICK","2026-06-23","SCHEDULED","3648.82",""
